Прізвище,Ім'я,По-батькові,Партія,Номер кандидата у списку
Абакумов,Роман,Олексійович,Аграрна партія України,35
Абдуллаєв,Іджран,Ягуб,"Самовисування, ОВО",172
Абдуллін,Олександр,Рафкатович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11
Абдулова,Ася,Шамілівна,"ПОЛІТИЧНА ПАРТІЯ ""НЕЗАЛЕЖНІСТЬ""",42
Абрамас,Віктор,Альфонсасович,"політична партія ""Громадянська позиція""",64
Абрамов,Олег,Геннадійович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"", ОВО",63
Абрамович,Ігор,Олександрович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",14
Абрамчук,Дмитро,Валентинович,"Аграрна партія України, ОВО",37
Абу,Шамсія,Рамі,"Політична Партія ""ПАТРІОТ""",17
Абушова,Бела,Сахават,"Політична партія ""Рух Нових Сил Михайла Саакашвілі""",87
Авдошко,Наталія,Борисівна,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""",65
Авер’янов,Олег,В’ячеславович,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",6
Авраменко,Олексій,Сергійович,"Самовисування, ОВО",90
Авраменко,Сергій,Васильович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",211
Авраменко,Сергій,Володимирович,"ПОЛІТИЧНА ПАРТІЯ ""НЕЗАЛЕЖНІСТЬ""",43
Авраменко,Сергій,Дмитрович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",160
Аврамчук,Дмитро,Васильович,"Самовисування, ОВО",160
Агапов,Дмитро,Олександрович,"Самовисування, ОВО",26
Агапов,Ігор,Володимирович,Аграрна партія України,170
Адаменко,Ірина,Олександрівна,"Самовисування, ОВО",106
Адамович,Сергій,Васильович,"Політична Партія ""ГОЛОС""",49
Адамчук,Сергій,Миколайович,"Самовисування, ОВО",22
Адам’як,Сергій,Іванович,"Політична партія ""Європейська Солідарність"", ОВО",67
Адзеленко,Олександр,Васильович,"Самовисування, ОВО",134
Азаров,Олександр,Ігорович,"Самовисування, ОВО",95
Азізов,Рустам,Расулджанович,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",83
Акімов,Олексій,Іванович,"Самовисування, ОВО",36
Акімова,Анастасія,Андріївна,"Самовисування, ОВО",174
Акіншин,Олександр,Олександрович,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ""",30
Акпєров,Вадим,Вагіфович,"Політична партія ""Європейська Солідарність"", ОВО",158
Аксакова,Юлія,Сергіївна,"Самовисування, ОВО",52
Аксьоненко,Дмитро,Павлович,"політична партія Всеукраїнське об’єднання ""Свобода""",170
Аксьонов,Андрій,Анатолійович,"Самовисування, ОВО",50
Акуленко,Юрій,Володимирович,"Політична партія ""Об’єднання ""САМОПОМІЧ""",19
Александров,Олександр,Олексійович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",183
Александрова,Лариса,Андріївна,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",92
Александрович,Валентин,Зігфрідович,"політична партія ""Громадянська позиція""",86
Александрук,Ірина,Миколаївна,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""",51
Алексанян,Карен,Артаваздович,"Самовисування, ОВО",175
Алексєєв,Ігор,Сергійович,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",18
Алексієнко,Тетяна,Валентинівна,"Самовисування, ОВО",146
Алексійчук,Роман,Васильович,"Самовисування, ОВО",152
Алентьєв,Олександр,Сергійович,"Самовисування, ОВО",75
Алешко,Руслан,Олександрович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",85
Алєксєєв,Михайло,Васильович,"Політична партія ""ПРАВИЙ СЕКТОР"", ОВО",121
Алєксєєв,Сергій,Олегович,"Політична партія ""Європейська Солідарність""",20
Алєксєєнко,Іван,Олександрович,"Самовисування, ОВО",127
Алєксєйчук,Вікторія,Іванівна,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"", ОВО",174
Аліксійчук,Олександр,Васильович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"", ОВО",154
Аліфанов,Микола,Іванович,"політична партія Всеукраїнське об’єднання ""Свобода""",66
Аллахвердієва,Ірина,Валеріївна,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",116
Алфьоров,Олександр,Анатолійович,"політична партія Всеукраїнське об’єднання ""Свобода""",15
Альоша,Андрій,Миколайович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", ОВО",51
Альошин,Андрій,Юрійович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",55
Амелін,Віктор,Володимирович,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",192
Амельченко,Василь,Васильович,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",16
Амирханян,Артур,Мукучевич,"Самовисування, ОВО",159
